method,label,overall_error,latency_ms,iid_hidden_error,exact_cluster_error,near_cluster_error,strict_ood_error,gap_scan_error
p5_unanchored_low_rom,Unanchored trace,0.19784015699379762,1.8020220823624793,0.1844301553558919,0.16014449646607584,0.14589026331941857,0.2682906931713312,0.21830234721136246
p5_anchor,Anchor,0.15649866098696746,2.6215973523600646,0.15134644538422504,0.11609894455969054,0.10504971318042004,0.2518775199260624,0.1404969314721722
p5_wide_anchor,Wide anchor,0.1524299054227993,1.1560590991090673,0.14582989514106753,0.11274744136330091,0.10020248206246385,0.23571996012738958,0.1511085215308914
p5_long_anchor,Long anchor,0.14719423172331492,1.0717477033419225,0.13804673546909274,0.10215578779063372,0.08923696840417576,0.2292116906421825,0.15937450247126037
p5_static_low_rom,Static low-ROM,0.15053625560199768,2.0588743968498115,0.1427155220717008,0.10892485442213844,0.09541975040363247,0.23926324708090344,0.1494625702068321
p5_highfreq_rom,High-frequency ROM,0.15531347855183658,1.8062128066958394,0.14859995255222372,0.11397593341423491,0.10299220636700897,0.24559913085697263,0.14808815999974834
p2_shell1,Neural + shell 1,0.061720231475819905,65.02415345579114,0.05960191431355366,0.04843164953490079,0.04512852616541121,0.09216962164451196,0.057684313331395454
p2_shell2_outer,Neural + outer shell 2,0.13410404787796698,67.15915367531125,0.12409889631502279,0.08742962855703428,0.07849002546574847,0.20561024006022635,0.15655681511280875
p2_shell2_all,P2 full shell,0.04532352268086599,98.9176064557493,0.04382490761360788,0.0422039007076807,0.039033857721850786,0.05685281215047128,0.0438916317577557
fourier_only_rank21,Fourier-only (rank 21),0.13696471890994896,62.916583843859065,0.13367445400816166,0.13287713261121173,0.12248936757979224,0.15838616154468296,0.13699781810742123
