method,split,mean_projector_error
p5_unanchored_low_rom,iid_hidden,0.1844301553558919
p5_unanchored_low_rom,exact_cluster,0.16014449646607584
p5_unanchored_low_rom,near_cluster,0.14589026331941857
p5_unanchored_low_rom,strict_ood,0.2682906931713312
p5_unanchored_low_rom,gap_scan,0.21830234721136246
p5_anchor,iid_hidden,0.15134644538422504
p5_anchor,exact_cluster,0.11609894455969054
p5_anchor,near_cluster,0.10504971318042004
p5_anchor,strict_ood,0.2518775199260624
p5_anchor,gap_scan,0.1404969314721722
p5_wide_anchor,iid_hidden,0.14582989514106753
p5_wide_anchor,exact_cluster,0.11274744136330091
p5_wide_anchor,near_cluster,0.10020248206246385
p5_wide_anchor,strict_ood,0.23571996012738958
p5_wide_anchor,gap_scan,0.1511085215308914
p5_long_anchor,iid_hidden,0.13804673546909274
p5_long_anchor,exact_cluster,0.10215578779063372
p5_long_anchor,near_cluster,0.08923696840417576
p5_long_anchor,strict_ood,0.2292116906421825
p5_long_anchor,gap_scan,0.15937450247126037
p5_static_low_rom,iid_hidden,0.1427155220717008
p5_static_low_rom,exact_cluster,0.10892485442213844
p5_static_low_rom,near_cluster,0.09541975040363247
p5_static_low_rom,strict_ood,0.23926324708090344
p5_static_low_rom,gap_scan,0.1494625702068321
p5_highfreq_rom,iid_hidden,0.14859995255222372
p5_highfreq_rom,exact_cluster,0.11397593341423491
p5_highfreq_rom,near_cluster,0.10299220636700897
p5_highfreq_rom,strict_ood,0.24559913085697263
p5_highfreq_rom,gap_scan,0.14808815999974834
p2_shell1,iid_hidden,0.05960191431355366
p2_shell1,exact_cluster,0.04843164953490079
p2_shell1,near_cluster,0.04512852616541121
p2_shell1,strict_ood,0.09216962164451196
p2_shell1,gap_scan,0.057684313331395454
p2_shell2_outer,iid_hidden,0.12409889631502279
p2_shell2_outer,exact_cluster,0.08742962855703428
p2_shell2_outer,near_cluster,0.07849002546574847
p2_shell2_outer,strict_ood,0.20561024006022635
p2_shell2_outer,gap_scan,0.15655681511280875
p2_shell2_all,iid_hidden,0.04382490761360788
p2_shell2_all,exact_cluster,0.0422039007076807
p2_shell2_all,near_cluster,0.039033857721850786
p2_shell2_all,strict_ood,0.05685281215047128
p2_shell2_all,gap_scan,0.0438916317577557
fourier_only_rank21,iid_hidden,0.13367445400816166
fourier_only_rank21,exact_cluster,0.13287713261121173
fourier_only_rank21,near_cluster,0.12248936757979224
fourier_only_rank21,strict_ood,0.15838616154468296
fourier_only_rank21,gap_scan,0.13699781810742123
