method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
fourier_shell2,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.016557977184941012,0.0007872432470321655,0.0004155971109867096,0.0012028403580188751,0.027118278667330742,8.305798981922408e-08,8.75299406288832e-08,0.15286107506666524,0.18593391321805106,19,not_applicable,nan,312.15596571564674
kinetic_fourier21,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.005788182538628278,0.00011983513832092285,8.916109800338745e-05,0.0002089962363243103,0.012913133949041367,5.728900864809816e-08,9.774404219342614e-08,0.15286107506666524,0.18593391321805106,21,not_applicable,nan,73.35500605404377
kinetic_fourier25,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.0032802548101799516,3.968924283981323e-05,3.1519681215286255e-05,7.120892405509949e-05,0.007792815566062927,5.636428501709645e-08,5.031330374549725e-08,0.15286107506666524,0.18593391321805106,25,not_applicable,nan,115.42359367012978
fourier_shell3,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.0007705419615873126,3.829598426818848e-06,1.866370439529419e-06,5.695968866348267e-06,0.0025857165455818176,4.59524631679642e-08,6.366038718397249e-08,0.15286107506666524,0.18593391321805106,37,not_applicable,nan,224.31769408285618
wang_xie_adapted,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.11850930822185415,0.0031319260597229004,0.014207042753696442,0.017338968813419342,0.06238261237740517,3.26598530442368e-08,1.2526145098945562e-07,0.15286107506666524,0.18593391321805106,2,not_applicable,nan,9.363381192088127
dai_adapted,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.2833885361525885,0.051852211356163025,0.05074271559715271,0.10259492695331573,0.23691989481449127,1.6682467851580896e-08,0.00029445209656842053,0.15286107506666524,0.18593391321805106,6,not_applicable,nan,138.85131105780602
long_anchor,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.12840611943310087,0.003232404589653015,0.017218485474586487,0.020450890064239502,0.06888026744127274,5.09787863034461e-08,9.020656221991885e-08,0.15286107506666524,0.18593391321805106,2,not_applicable,nan,1.268172636628151
sc_narr_shell1,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.060310061437531017,0.0018401965498924255,0.0050988346338272095,0.006939031183719635,0.04849289357662201,6.729885160261517e-08,4.7897533050900165e-08,0.15286107506666524,0.18593391321805106,9,not_applicable,nan,45.29097303748131
sc_narr,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.007990895204485707,0.00014027953147888184,0.00022032111883163452,0.00036060065031051636,0.01675993576645851,1.1944074596037524e-07,1.3300538626026537e-07,0.15286107506666524,0.18593391321805106,21,not_applicable,nan,100.93550197780132
sc_hybrid25,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.004004700160892296,5.422532558441162e-05,5.0708651542663574e-05,0.0001049339771270752,0.009537340141832829,3.745897314555435e-08,6.848574685136555e-08,0.15286107506666524,0.18593391321805106,25,not_applicable,nan,130.33265620470047
sr_routed25,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-000,0.0032802548101799516,3.968924283981323e-05,3.1519681215286255e-05,7.120892405509949e-05,0.007792815566062927,5.636428501709645e-08,5.031330374549725e-08,0.15286107506666524,0.18593391321805106,25,fourier,3.7109174104909756e-14,323.68045672774315
kinetic_fourier21,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-001,0.008093097241468804,0.000246390700340271,0.00016707368195056915,0.00041346438229084015,0.01833570934832096,4.981676271498259e-08,1.0358717617009461e-07,0.18045848990096058,0.20372269705341634,21,not_applicable,nan,76.45046710968018
kinetic_fourier25,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-001,0.004840716092444206,9.085237979888916e-05,6.444379687309265e-05,0.0001552961766719818,0.011631771922111511,4.5825000349886125e-08,7.767594922825083e-08,0.18045848990096058,0.20372269705341634,25,not_applicable,nan,98.63467141985893
fourier_shell3,harmonic_honeycomb,42,iid_hidden,v3-confirm-harmonic_honeycomb-iid-001,0.001202487089197879,9.387731552124023e-06,4.841014742851257e-06,1.422874629497528e-05,0.004151330795139074,1.0022095864314906e-07,8.100580828340753e-08,0.18045848990096058,0.20372269705341634,37,not_applicable,nan,218.7463454902172
