method,label,overall,iid_hidden,exact_cluster,near_cluster,strict_ood,gap_scan,eigenvalue_mae,residual_rms,p95,maximum,latency_ms
long_anchor,Long-anchor neural,0.13990460610634287,0.13956184825139337,0.10515317494339317,0.08958048461684524,0.22852470502766017,0.18382515076799955,0.022595435387726563,0.16220542474184185,0.3255211915251274,0.6051015625812354,1.2680891901254654
sc_narr_shell1,Neural + D6 shell 1,0.05739023352288152,0.05769305746848536,0.05076877129630973,0.047313453267963886,0.08007349918289987,0.05489131952953364,0.013180076716768479,0.15277718311020483,0.13686770704350903,0.19781800609051947,49.168008527097605
sc_narr,Neural + D6 shell 2,0.03750725562860162,0.03624413762475317,0.037416900293696674,0.03448858371478442,0.04401520407849254,0.03625432114777815,0.01062382867433674,0.1394364724944656,0.1103105484084265,0.17413431581489391,106.27956393097217
sc_hybrid25,Fixed neural–Fourier 25,0.03178397487221702,0.03081124885828933,0.031902229976053485,0.029175797016629382,0.036955265976500104,0.03097486805059622,0.009890265870490111,0.13059344087184097,0.10568309118125198,0.1668573273982321,134.80836181358123
sr_routed25,SR-SC-NARR,0.030928686501285243,0.0303662364751304,0.02995211801257754,0.029007405573280805,0.03561832241622286,0.03039129448514841,0.009837347487336955,0.12901095678777588,0.10568309118125198,0.1668573273982321,176.64045879694945
fourier_shell2,D6 shell 2 (rank 19),0.07347616434112218,0.07089183723154327,0.07381766737813455,0.06774621988445435,0.08366302937601391,0.07477791578647532,0.023261361956247128,0.1647258377750404,0.21210349474213055,0.3245186925342763,61.24342594994232
kinetic_fourier21,Kinetic Fourier ≥21,0.05373220435987556,0.052159157931200885,0.05423471235230101,0.049192436154819746,0.06213280570714425,0.052691383153004076,0.019102692529850175,0.14840544714825227,0.18282082225260818,0.2780270413186688,73.85641657747328
kinetic_fourier25,Kinetic Fourier ≥25,0.04342457582994396,0.043326602539392994,0.04010119663366182,0.04129141073120994,0.05023078365099645,0.04305436045770724,0.015995709496201015,0.14228422829473858,0.14657067621910638,0.2353409491913129,105.554385149541
fourier_shell3,D6 shell 3 (rank 37),0.030799295419891907,0.029983047727503268,0.03122761448189509,0.028537942597758967,0.034597685188718,0.030762431609409436,0.011275090029812418,0.1308663323194196,0.11097266138235272,0.1675309295831646,220.36810994613916
wang_xie_adapted,Wang–Xie adapted,0.1327169450203102,0.12946236188599036,0.09890608585392913,0.0881249952069551,0.21182443946860535,0.18240869016518702,0.01824756870919373,0.15202218863026548,0.3049585225801939,0.6135658361129958,1.0966940239692728
dai_adapted,Dai adapted,0.43288513112210253,0.42302193848677766,0.4309635241436852,0.4225819094657765,0.44078342284877053,0.4715678118652292,0.11002586164492338,0.27214250702721376,0.6547988183090887,0.7218438014982412,130.33152947900817
