method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
fourier_shell2,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.009143312845081807,0.00022901315242052078,0.0001661553978919983,0.0003951685503125191,0.015877820551395416,1.3077142357875715e-07,1.4965043249048904e-07,0.03607408623350758,0.21578235088138303,19,not_applicable,nan,18.386583775281906
kinetic_fourier21,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.0033610204984910043,3.768410533666611e-05,3.2942742109298706e-05,7.062684744596481e-05,0.007456825580447912,8.348435054372771e-08,3.028561934570462e-07,0.03607408623350758,0.21578235088138303,21,not_applicable,nan,20.768415881320834
kinetic_fourier25,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.0018959311436624706,8.732080459594727e-06,1.4640390872955322e-05,2.337247133255005e-05,0.004430616740137339,3.182703889326177e-08,2.4606276838312624e-07,0.03607408623350758,0.21578235088138303,25,not_applicable,nan,28.349375119432807
fourier_shell3,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.0001557990821329341,6.966292858123779e-07,4.507601261138916e-07,1.1473894119262695e-06,0.001169924857094884,9.528994349139452e-08,2.9477797625077073e-07,0.03607408623350758,0.21578235088138303,37,not_applicable,nan,61.471667140722275
wang_xie_adapted,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.09128952248704347,0.005075981840491295,0.009071730077266693,0.014147711917757988,0.0628226175904274,9.644373477613044e-08,1.5984781498445955e-07,0.03607408623350758,0.21578235088138303,2,not_applicable,nan,1.231249887496233
dai_adapted,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.225250686084587,0.034931495785713196,0.04080665856599808,0.07573815435171127,0.2398681789636612,1.483895453180395e-07,0.00011704150529112667,0.03607408623350758,0.21578235088138303,6,not_applicable,nan,132.8091248869896
long_anchor,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.09853122683753689,0.0052339425310492516,0.011294730007648468,0.016528673470020294,0.0683198943734169,4.044198997910087e-08,2.1693932694688556e-07,0.03607408623350758,0.21578235088138303,2,not_applicable,nan,0.9410420898348093
sc_narr_shell1,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.027890327053160538,0.0008248500525951385,0.0012528151273727417,0.0020776651799678802,0.030152641236782074,9.937176748131549e-08,2.4464179659844376e-07,0.03607408623350758,0.21578235088138303,9,not_applicable,nan,37.369958125054836
sc_narr,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.004661638185421399,6.101652979850769e-05,6.669387221336365e-05,0.00012771040201187134,0.010087688453495502,4.7576317996345097e-08,3.2896761581469036e-07,0.03607408623350758,0.21578235088138303,21,not_applicable,nan,53.658457938581705
sc_hybrid25,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.0022600026668053424,1.7550773918628693e-05,1.6734004020690918e-05,3.428477793931961e-05,0.005482788197696209,6.179130962458146e-08,1.853688758046701e-07,0.03607408623350758,0.21578235088138303,25,not_applicable,nan,60.996459098532796
sr_routed25,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-000,0.0018959311436624706,8.732080459594727e-06,1.4640390872955322e-05,2.337247133255005e-05,0.004430616740137339,3.182703889326177e-08,2.4606276838312624e-07,0.03607408623350758,0.21578235088138303,25,fourier,3.242802280498634e-14,34.7202920820564
kinetic_fourier21,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-001,0.019531559837705898,0.001779019832611084,0.0007949769496917725,0.0025739967823028564,0.04844827204942703,4.1647702397895614e-08,1.116663739253454e-07,0.1943433759015376,0.3061152070630356,21,not_applicable,nan,20.770750008523464
kinetic_fourier25,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-001,0.01265683504906961,0.0007836818695068359,0.0004233419895172119,0.0012070238590240479,0.03548000752925873,4.417826682256987e-08,6.936402030532918e-08,0.1943433759015376,0.3061152070630356,25,not_applicable,nan,28.406250057742
fourier_shell3,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-001,0.004946539322103842,0.00013977289199829102,0.00010201334953308105,0.00024178624153137207,0.017880024388432503,7.442062943674443e-08,6.853634459957902e-08,0.1943433759015376,0.3061152070630356,37,not_applicable,nan,60.43754192069173
wang_xie_adapted,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-001,0.0725915889039358,0.008628517389297485,0.006051927804946899,0.014680445194244385,0.08350028842687607,6.448730960340043e-08,4.7967017025030145e-08,0.1943433759015376,0.3061152070630356,2,not_applicable,nan,0.8048748131841421
dai_adapted,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-001,0.3476441260858782,0.15743392705917358,0.11559207737445831,0.2730259895324707,0.33501818776130676,6.97630044843578e-08,2.4090013539534993e-05,0.1943433759015376,0.3061152070630356,6,not_applicable,nan,115.59204198420048
long_anchor,harmonic_honeycomb,42,iid_hidden,v3-pilot-harmonic_honeycomb-iid-001,0.08423819565229576,0.01027768850326538,0.0072966814041137695,0.01757436990737915,0.08880408853292465,7.377122335228137e-08,9.430543457256135e-08,0.1943433759015376,0.3061152070630356,2,not_applicable,nan,0.9138339664787054
